id,nome,presencas
204528,Adriana Ventura,2
204379,Acácio Favacho,1
220714,Adail Filho,1
221328,Adilson Barroso,1
204560,Adolfo Viana,1
121948,Adriano do Baldy,1
74646,Aécio Neves,1
136811,Afonso Hamm,1
178835,Afonso Motta,1
160527,Aguinaldo Ribeiro,1
